Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Foodniks,American,Tiburon,Takeout,No,1 Blackfield Drive,Tiburon,N/A,North Bay,8 a.m.-7 p.m. Monday-Friday; 8 a.m.-3 p.m. Saturday; 10 a.m.-2 p.m. Sunday,415-383-3663,www.foodniks.com,Call (no messages) or walk in to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Forge Pizza,Italian,Jack London (Oak),Delivery & Takeout,No,66 Franklin St. Ste. 100,Oakland,N/A,East Bay,Noon-7 p.m. daily,510-268-3200,www.theforgepizza.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fox and Lion Bread,Bakery,Bayview (S.F.),Takeout,No,5273 3rd St.,San Francisco,N/A,San Francisco,8 a.m.-3 p.m. Monday-Saturday,415-872-9789,www.foxandlionbread.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fradelizio's,Italian,Fairfax,Takeout,Yes,35 Broadway,Fairfax,N/A,North Bay,4-8 p.m. Wednesday-Monday,415-459-1618,www.fradelizios.com/curbside-pickup,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Francisca's,"Venezuelan, Italian",Mission (S.F.),Delivery & Takeout,Yes,3047 Mission St.,San Francisco,N/A,San Francisco,6-9 p.m. Tuesday-Saturday,415-374-5747,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Frascati,Italian,Russian Hill (S.F.),Takeout,Yes,1901 Hyde St.,San Francisco,N/A,San Francisco,5:30-8:30 p.m. Wednesday-Saturday,415-928-1406,www.frascatisf.com/,Order by email until 4:30 p.m.; call to order after 4:30 p.m.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fresca Restaurant,Peruvian,Sunset (S.F.),Delivery & Takeout,No,737 Irving St.,San Francisco,N/A,San Francisco,Noon-7 p.m. Tuesday-Saturday,415-742-5727,www.frescasf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fresh Brew Coffee,"Sandwiches, Vietnamese",Nob Hill (S.F.),Takeout,No,882 Bush St.,San Francisco,N/A,San Francisco,8 a.m.-5 p.m. Tuesday-Sunday,415-567-0915,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Frog Hollow Farm,American,Embarcadero (S.F.),Delivery & Takeout,No,1 Ferry Building,San Francisco,N/A,San Francisco,7 a.m.-2 p.m. Monday-Saturday,415-445-0990,N/A,"To place an order, email cafe@froghollow.com, call or order online for pick-up or delivery through Mercato.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Front Porch,"American, Southern",Bernal Heights (S.F.),Delivery & Takeout,Yes,65 29th St.,San Francisco,N/A,San Francisco,5-9:30 p.m. Tuesday-Sunday; 10 a.m.-3:30 p.m. Thursday-Sunday,415-695-7800,www.thefrontporchsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fu Kee Chinese Restaurant,Chinese,San Jose,Delivery & Takeout,No,121 Bernal Rd #50,San Jose,N/A,South Bay,11 a.m.-10 p.m. daily,408-225-3218,www.fukeerestaurant.com/,Call by phone for takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Fuki Sushi,Japanese,Palo Alto,Delivery & Takeout,No,4119 El Camino Real,Palo Alto,N/A,Peninsula,5:30-8:30 p.m. daily,650-494-9383,www.fukisushi.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Funky Elephant,Thai,Berkeley,Delivery & Takeout,No,1313 Ninth St.,Berkeley,N/A,East Bay,"Noon-3 p.m., 5-8:30 p.m. Tuesday-Friday; Noon-8:30 p.m Saturday and Sunday",510-356-4855,www.instagram.com/funky.elephant,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gabrielle Collection Taste +,American,Napa,Takeout,Yes,1000 Main St.,Napa,N/A,North Bay,11 a.m.-6 p.m. Monday-Saturday,707-815-0364,www.oconnellfamilywines.com,Email orders@oconnellfamilywines or call to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gai Chicken and Rice,Chinese,Mission Dolores (S.F.),Delivery & Takeout,No,3463 16th St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-535-0451,www.gaiandrice.com/order-online,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gallardo's,Mexican,Mission (S.F.),Takeout,No,3248 18th St.,San Francisco,N/A,San Francisco,7 a.m.-8 p.m. daily,415-436-9387,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gamine,French,Cow Hollow (S.F.),Takeout,Yes,2223 Union St.,San Francisco,N/A,San Francisco,Call for hours,415-771-7771,www.gaminesf.com,Call for daily special menu.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ganim's,Middle Eastern,Potrero Hill (S.F.),Takeout,No,1135 18th St.,San Francisco,N/A,San Francisco,11 a.m.-8:45 p.m. daily,415-282-9289,http://places.singleplatform.com/ganims-deli/menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gap Year at Nico,French,Financial District (S.F.),Delivery & Takeout,No,710 Montgomery St.,San Francisco,N/A,San Francisco,4-7 p.m. Tuesday-Saturday,415-359-1000,www.gapyearatnico.com/,"To place a to-go order, please call, email info@nicosf.com or visit Caviar.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Garaje,Mexican,South Beach (S.F.),Delivery & Takeout,No,475 3rd St.,San Francisco,N/A,San Francisco,11 a.m.-2 p.m. daily,415-644-0838,www.garaje475.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gaumenkitzel Restaurant,German,Berkeley,Takeout,No,2121 San Pablo Ave.,Berkeley,N/A,East Bay,Noon-9 p.m. Tuesday-Sunday,510-647-5016,www.gaumenkitzel.net,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gelato Classico,Gelato,Fremont,Takeout,No,39191 Farwell Dr.,Fremont,N/A,East Bay,Noon-9 p.m. Tuesday-Sunday,510-795-1492,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gentilly,"American, Southern",Excelsior (S.F.),Delivery & Takeout,No,4826 Mission St.,San Francisco,N/A,San Francisco,"11 a.m.-2:30 p.m, 4-9 p.m. Tuesday-Saturday; 11 a.m.-2:30 p.m. Saturday",415-859-5633,www.gentillysf.com,10% off pick-up through March 20. Delivery available to the Excelsior. Gift cards available for purchase to help friends and family facing financial strain.,https://projects.sfchronicle.com/2020/restaurant-delivery/
George's Giant Hamburger,American,Walnut Creek,Delivery & Takeout,Yes,1491 Newell Ave.,Walnut Creek,N/A,East Bay,11 a.m.-7 p.m. Monday-Saturday,925-939-4888,www.georgesgianthamburger.com,Call to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Giant Chef Burger,American,Pleasant Hill,Takeout,Yes,10 Golf Club Rd.,Pleasant Hill,N/A,East Bay,6:30 a.m.-8 p.m. Tuesday-Sunday,925-689-6094,www.facebook.com/profile.php?id=115998055087942,Order by phone or in person through walk-up window.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gilman Brewing Company,"Pizza, American",Daly City,Delivery & Takeout,Yes,2001 Junipero Serra Blvd.,Daly City,N/A,Peninsula,1-8 p.m. Wednesday-Sunday,650-451-3621,www.gilmanbrew.com,Can also order via Gilman Brewing app.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gilman Brewing Company Berkeley,American,Berkeley,Delivery & Takeout,No,912 Gilman St.,Berkeley,N/A,East Bay,1-8 p.m. daily,510-556-8701,www.gilmanbrew.com,Call to inquire regarding delivery of food and beer; minimum applies.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ginger Cafe,"Chinese, Southeast Asian",Sunnyvale,Delivery & Takeout,No,398 W. El Camino Real #114,Sunnyvale,N/A,South Bay,10:30 a.m.-9:30 p.m. daily,408-736-2828,www.gingercafe.net/,Call by phone for takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Chaatzz,"Indian, Vegetarian",Fremont,Delivery & Takeout,No,39150 Paseo Padre Parkway,Fremont,N/A,East Bay,8 a.m.-9 p.m. daily,408-781-1743,www.gochaatzzusa.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Duck Yourself,Chinese,Chinatown (S.F.),Delivery & Takeout,No,1261 Stockton St.,San Francisco,N/A,San Francisco,9 a.m.-8 p.m. daily,415-397-5521,N/A,Delivery through UberEats only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Fish Poke Bar,Hawaiian,Palo Alto,Delivery & Takeout,No,Stanford Shopping Center Ste. 244B,Palo Alto,N/A,Peninsula,Lunch and dinner daily,650-328-1370,www.gofishpokebar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Fish Poke Bar,Hawaiian,Redwood City,Delivery & Takeout,No,823 Hamilton St.,Redwood City,N/A,Peninsula,Lunch and dinner daily,650-260-2066,www.gofishpokebar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Fish Poke Bar,Hawaiian,Santa Clara,Delivery & Takeout,No,670 River Oaks Parkway Suite N,Santa Clara,N/A,South Bay,Lunch and dinner Monday-Friday,408-708-4914,www.gofishpokebar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Fish Poke Bar,Hawaiian,San Jose,Delivery & Takeout,No,1183 S. DeAnza Blvd. Ste 40,San Jose,N/A,South Bay,Lunch and dinner Tuesday-Sunday,408-343-0988,www.gofishpokebar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Go Go 7,Korean,Ingleside (S.F.),Delivery & Takeout,No,1300 Ocean Ave.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. Wednesday-Sunday,415-333-4344,www.gogo7.com,Call to order and arrange for pickup.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Goat Hill Pizza,Pizza,Potrero Hill (S.F.),Delivery & Takeout,No,300 Connecticut St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-641-1440,www.goathillpizza.com/order-online/,Last delivery order at 8:15 p.m.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Goat Hill Pizza,Pizza,West Portal (S.F),Delivery & Takeout,No,170 West Portal,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. Monday-Sunday,415-242-4628,www.goathillpizza.com/order-online/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Goemon,Japanese,Inner Sunset (S.F.),Delivery & Takeout,No,1524 Irving St.,San Francisco,N/A,San Francisco,5-10 p.m. daily,415-742-5137,www.sushigoemonsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gold Medal Restaurant,Chinese,Oakland,Takeout,No,389 8th St.,Oakland,N/A,East Bay,10 a.m.-10 p.m. daily,510-465-1940,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Golden Gate Meat Company,Butcher,Embarcadero (S.F.),Takeout,No,1 Ferry Building,San Francisco,N/A,San Francisco,8 a.m.-4 p.m. Monday-Saturday,415-983-7800,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Golden Horse,Chinese,Nob Hill (S.F.),Takeout,No,1060 Hyde St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-441-8889,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Golden King Vietnamese Restaurant,Vietnamese,Chinatown (S.F.),Delivery & Takeout,No,757 Clay St.,San Francisco,N/A,San Francisco,10 a.m.-8 p.m. daily,415-217-6888,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Golden Sand Harbor,Cantonese,Dublin,Takeout,No,7745 Amador Valley Blvd.,Dublin,N/A,East Bay,11 a.m.-10 p.m. Monday-Friday; 10 a.m.-10 p.m. Saturday and Sunday,925-828-2028,www.goldensandharbor.com,Full menu including dim sum available for takeout.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Good Gai's,"Thai, Hainan",Bernal Heights (S.F.),Delivery & Takeout,Yes,2723 Oakdale Ave.,San Francisco,N/A,San Francisco,11:30 a.m.-3 p.m. Tuesday-Thursday,415-796-3906,www.trycaviar.com/m/good-gais-19149,Please call ahead of time.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Good Mong Kok Bakery,Chinese,Chinatown (S.F.),Takeout,No,1039 Stockton St.,San Francisco,N/A,San Francisco,7 a.m.-6 p.m. daily,415-397-2688,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Goood Frikin Chicken,Mediterranean,Bernal Heights (S.F.),Delivery & Takeout,No,10 29th St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-970-2428,www.ordergooodfrikinchicken.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gott's Roadside,Burgers,Greenbrae,Takeout,No,302 Bon Air Center,Greenbrae,N/A,North Bay,11 a.m.-8 p.m. daily,415-785-4233,www.gotts.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gott's Roadside,Burgers,Palo Alto,Delivery & Takeout,No,855 El Camino Real #65,Palo Alto,N/A,Peninsula,11 a.m.-8 p.m. daily,650-326-1000,www.gotts.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gott's Roadside,Burgers,Walnut Creek,Delivery & Takeout,No,1275 S. Main St.,Walnut Creek,N/A,East Bay,11 a.m.-8 p.m. daily,925-954-6243,www.gotts.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gourmet Carousel,Chinese,Lower Nob Hill (S.F.),Delivery & Takeout,Yes,1559 Franklin St.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. Monday-Saturday,415-771-2044,www.gourmetsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gourmet Delight,Chinese,Chinatown (S.F.),Takeout,No,1045 Stockton St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-392-3288,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gourmet Delight Restaurant,Chinese,Hayes Valley (S.F.),Takeout,No,701 Webster St.,Oakland,N/A,East Bay,"9 a.m.-2:30 p.m., 5-8:30 p.m. daily",510-832-7661,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gracias Madre,"Mexican, Vegan",Mission (S.F.),Delivery & Takeout,No,2211 Mission St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-683-1346,www.gracias-madre.com/deliveries.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gram Cafe & Pancakes,Japanese,Lakeshore (S.F.),Delivery & Takeout,Yes,3251 20th Ave.,San Francisco,N/A,San Francisco,11 a.m.-7 p.m. daily,628-256-6013,www.gramcafeusa.com,Call or order online. Use promo code eatstogether6jl8y4 to receive discount on UberEats.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gran Milan,Italian,Richmond,Delivery & Takeout,Yes,5327 Jacuzzi St.,Richmond,N/A,East Bay,8 a.m.-2 p.m. Monday-Saturday,510-984-0679,www.GranMilan.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Grant Place Restaurant,Chinese,Chinatown (S.F.),Delivery & Takeout,No,737 Washington St.,San Francisco,N/A,San Francisco,7:30 a.m.-6 p.m. daily,415-982-3705,www.grantplacerestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gratta Wines,"Wine, Charcuterie",Bayview (S.F.),Takeout,Yes,2022 Lane St.,San Francisco,N/A,San Francisco,10 a.m.-3 p.m.; 4-7 p.m. Monday-Saturday,415-872-9791,www.grattawines.com,Delivery by appointment only; call to schedule.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Great Donuts,"Bakery, Donuts",Alamo,Takeout,No,"115 Alamo Plaza, #B",Alamo,N/A,East Bay,6 a.m.-2 p.m. Monday-Friday; 6 a.m.-1 p.m. Saturday-Sunday,925-837-7731,www.great-donuts.business.site,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Great Gold,Italian,Mission (S.F.),Delivery & Takeout,No,3161 24th St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-829-7814,www.greatgoldsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Grill N Curry,"Indian, Pakistani, Halal",Inner Sunset (S.F.),Delivery & Takeout,Yes,1033 Irving St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. Monday-Sunday,415-941-7309,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Grossman's Noshery & Bar,Deli,Santa Rosa,Takeout,No,308 Wilson Ave.,Santa Rosa,N/A,North Bay,9 a.m.-3 p.m. daily,707-595-7707,www.grossmanssr.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Guerra's to Go,American,West of Twin Peaks (S.F.),Delivery & Takeout,No,345 Taraval St.,San Francisco,N/A,San Francisco,11 a.m.-6:30 p.m. daily,415-564-5201,www.guerrastogo.com,Order by phone or online.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Guerrero's 2,Mexican,Pacifica,Takeout,No,713 Hickey Blvd.,Pacifica,N/A,Peninsula,10 a.m.-9 p.m daily,650-738-0114,www.guerrerostaqueria.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Guesthouse Marin,American,Kentfield,Takeout,No,850 College Ave.,Kentfield,N/A,North Bay,Dinner nightly,415-419-5101,www.guesthousemarin.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gunther's Restaurant and Catering,German,San Jose,Delivery & Takeout,No,1601 Meridian Ave.,San Jose,N/A,South Bay,9 a.m.-3 p.m. Monday-Friday; 8 a.m.-2 p.m. Saturday,408-266-9022,www.guntherscatering.com/Home,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Gusto,Pizza,Nob Hill (S.F.),Delivery & Takeout,No,1000 Bush St.,San Francisco,N/A,San Francisco,"11 a.m.-2 p.m., 4-10 p.m. daily",415-678-5339,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ha-La Sushi,Japanese,Alamo,Delivery & Takeout,No,115-C Alamo Plaza,Alamo,N/A,East Bay,"11:30 a.m.-2:30 p.m., 5-9:30 p.m. Monday-Saturday; 5-9 p.m. Sunday",925-838-5583,www.halasushi.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Habana Cuba,"Cuban, Spanish",San Jose,Delivery & Takeout,No,"387 South 1st St., #109",San Jose,N/A,South Bay,11 a.m.-7 p.m. daily,408-998-2822,www.998cuba.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Halal Guys,"Halal, Middle Eastern",Tenderloin (S.F.),Delivery & Takeout,No,336 O’Farrell St.,San Francisco,N/A,San Francisco,10 a.m.-midnight Sunday-Thursday; 10 a.m.-4 a.m. Friday and Saturday,415-338-9770,www.thehalalguys.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Halal Wings Plus,"Pakistani, Indian, Halal",Tenderloin (S.F.),Delivery & Takeout,No,533 Jones St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-440-7786,www.halalwingsplus.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Halal Wings Plus,"Pakistani, Indian, Halal",Fremont,Delivery & Takeout,No,40860 Fremont Blvd.,Fremont,N/A,East Bay,11:30 a.m.-10 p.m. Tuesday-Sunday,510-657-8056,www.halalwingsplus.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Half Moon Bay Brewing Company,American,Half Moon Bay,Delivery & Takeout,No,390 Capistrano Rd.,Half Moon Bay,N/A,Peninsula,11 a.m.-8 p.m. daily,650-728-2739,www.hmbbrewingco.com,Delivery only available on the coast from Half Moon Bay to Pacifica.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Hall of Flame Burgers,American,Parkmerced (S.F.),Delivery & Takeout,No,829 Kipling Ave.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-584-4444,http://hallofflameburgers.square.site/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Hamano Sushi,Japanese,Noe Valley (S.F.),Delivery & Takeout,Yes,1332 Castro St.,San Francisco,N/A,San Francisco,5-8 p.m. daily,415-826-0825,www.hamanosushi.com,Delivery with $5 fee in Noe Valley and Bernal Heights only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Han Il Kwan,Korean,Richmond (S.F.),Delivery & Takeout,No,1802 Balboa St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. Thursday-Tuesday,415-752-4447,www.hanilkwan.org,Free delivery to 94118 and 94121 zip codes.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Happy Donut,Donuts,Noe Valley (S.F.),Takeout,No,3801 24th St.,San Francisco,N/A,San Francisco,"All day, every day",415-285-5890,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Harmonic Brewing,Pan-Asian,Potrero Hill (S.F.),Delivery & Takeout,Yes,1050 26th St.,San Francisco,N/A,San Francisco,2-7 p.m. Tuesday-Sunday,415-872-6817,www.harmonicbrewing.com/,"Order El China Grand bowls by emailing chris@henzhisf.com. To order Ox & Tiger Bento Boxes, text 415-992-3827.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Hashiri,Japanese,SoMa (S.F.),Takeout,No,4 Mint Plaza,San Francisco,N/A,San Francisco,11:30 a.m.-7 p.m. Tuesday-Saturday,415-908-1919,www.hashirisf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Hawker Fare,Laotian,Mission (S.F.),Takeout,No,680 Valencia St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-400-5699,www.hawkerfare.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Hawking Bird,Thai/Fusion,Temescal (Oak),Delivery & Takeout,No,4901 Telegraph Ave.,Oakland,N/A,East Bay,Lunch and dinner daily,510-593-2376,www.hawkingbird.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Hazel's Kitchen,Sandwiches,Potrero Hill (S.F.),Takeout,No,1319 18th St.,San Francisco,N/A,San Francisco,8 a.m.-2 p.m. daily,415-647-7941,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
